id,candidate_id,candidate,developer,title,citation,year,matrix_row,matrix_column,phase,population,route,product_platform,key_finding,evidence_signal,actionability,verification_status,source_url,evidence_update_date,map_record_updated,tags
LYME-011,CAND-PIV5-BLB-CYANVAC,PIV5-based intranasal Lyme vaccine,Blue Lake Biotechnology and CyanVac,Blue Lake/CyanVac press release summarizes preclinical PIV5-based intranasal Lyme vaccine data,"Blue Lake Biotechnology press release, February 15, 2024",2024,Preclinical evidence,Company pipeline or press release,Pre-clinical,Mouse model; human population TBA,Intranasal,PIV5-vectored OspA viral vector,Company release states that mice inoculated with PIV5-based intranasal Lyme vaccine candidates had long-lasting neutralizing antibody responses and protection up to 15 months against multiple Borrelia burgdorferi strains.,Preclinical durability and intranasal route are differentiating attributes; human translatability unproven.,Monitor IND/Phase 1 announcements and safety data for PIV5-vectored intranasal platform in humans.,manual source-backed preclinical,https://www.bluelakebiotechnology.com/news/preclinical-data-on-piv5-based-intranasal-vaccine-against-lyme-disease-demonstrates-durable-immune-response,2024-02-15,2026-06-08,PIV5; intranasal; Blue Lake; CyanVac; preclinical; durable response
LYME-012,CAND-PIV5-BLB-CYANVAC,PIV5-based intranasal Lyme vaccine,Blue Lake Biotechnology and CyanVac; Immuno Technologies collaboration,npj Vaccines article: intranasal PIV5 vaccine protected mice against tick-transmitted Borrelia beyond one year,"Gingerich et al., npj Vaccines, 2024",2024,Preclinical evidence,Peer-reviewed publication or preprint,Pre-clinical,C3H-HeN mouse model,Intranasal,Live PIV5-vectored OspA candidates,Peer-reviewed article reports longer-lasting antibody responses and protection in mice after intranasal PIV5-delivered OspA vaccination compared with parenteral recombinant OspA control in the tested model.,Peer-reviewed preclinical support; next gap is clinical translation.,"Track IND status, Phase 1 initiation, shedding/safety considerations, route acceptability, and manufacturing scalability.",manual source-backed peer-reviewed,https://www.nature.com/articles/s41541-023-00802-y,2024-02-15,2026-06-08,npj Vaccines; PIV5; OspA; mouse; intranasal; durability
LYME-013,CAND-CSPZ-TUFTS,CspZ-based Lyme vaccine candidate,Tufts University and collaborators,Tufts Now summary: engineered CspZ target shows promise in preclinical Lyme vaccine development,"Tufts Now, April 7, 2025",2025,Preclinical evidence,News or synthesis,Pre-clinical,Mouse studies; human immune-cell relevance noted in university summary,TBA,Recombinant engineered CspZ protein,University summary describes CspZ as a promising Lyme bacterial protein target and notes engineered variants producing robust immune responses in preclinical studies.,Alternative non-OspA antigen strategy may diversify the field.,"Monitor translational funding, manufacturing process, adjuvant/route decisions, and IND-enabling studies.",manual source-backed synthesis,https://now.tufts.edu/2025/04/07/alternative-approach-lyme-disease-vaccine-development-shows-promise-pre-clinical-models,2025-04-07,2026-06-08,Tufts; CspZ; recombinant protein; preclinical; alternative antigen
LYME-014,CAND-CSPZ-TUFTS,CspZ-based Lyme vaccine candidate,Tufts University and collaborators,Nature Communications article on structure-based design of CspZ-targeting Lyme vaccine,"Brangulis et al., Nature Communications, 2025",2025,Preclinical evidence,Peer-reviewed publication or preprint,Pre-clinical,Mouse model; preclinical antigen design,TBA,Recombinant engineered CspZ protein,Study reports structure-guided mutations of CspZ-YA variants that improved protective activity in mouse challenge models and supported antibody-recognition/stability analyses.,Mechanistic preclinical support for a non-OspA antigen approach.,"Add manufacturing, adjuvant, toxicology, dose regimen, and translational readiness data when available.",manual source-backed peer-reviewed,https://www.nature.com/articles/s41467-025-58182-x,2025-04-07,2026-06-08,Nature Communications; CspZ; structure-guided design; mouse challenge; preclinical
LYME-015,CAND-LB6V-VLA15,VLA15 seed row,Funnelgram image seed,"Seed image row: VLA15 by Pfizer and Valneva, recombinant protein, children 5-17 and adults 18+ years, IM, Phase 3","User-provided funnelgram image, transcribed June 8, 2026",2026,Candidate status,Dashboard seed image,Phase 3,Children 5 to 17 years; Adults 18+ years,IM,Recombinant protein,Image states: Phase 3 trials completed and ongoing; marketing planned for 2026. Dashboard flags this as needing reconciliation with current source-backed status.,"Seed data only; useful for dashboard structure, not final public claims.",Cross-check image-derived status against source-backed records before publishing or outreach.,image-seed unverified,assets/funnelgram_seed.png,2026-06-08,2026-06-08,seed image; VLA15; Pfizer; Valneva; status reconciliation
LYME-016,CAND-MOD-MRNA-1975-1982,mRNA-1975 and mRNA-1982 seed row,Funnelgram image seed,"Seed image row: Moderna mRNA-1982 and mRNA-1975, adults 18-70, IM, Phase 1/2 completed in May 2025","User-provided funnelgram image, transcribed June 8, 2026",2026,Candidate status,Dashboard seed image,Phase 1/2,Adults 18 to 70 years,IM,mRNA,Image states: Phase 1/2 trial completed in May 2025. Dashboard current status uses Moderna pipeline Phase 2 record.,Seed data captures previous milestone; current status requires updated source-backed record.,Retain as provenance and reconcile with current pipeline status.,image-seed unverified,assets/funnelgram_seed.png,2026-06-08,2026-06-08,seed image; Moderna; mRNA; Phase 1/2; status reconciliation
LYME-017,CAND-BN-LYME,Bavarian Nordic seed row,Funnelgram image seed,"Seed image row: Bavarian Nordic TBA candidate, to enter clinical trials in 2026","User-provided funnelgram image, transcribed June 8, 2026",2026,Candidate status,Dashboard seed image,Pre-clinical / planned Phase 1,TBA,TBA,TBA,Image states: to enter clinical trials in 2026. Dashboard flags later company material indicating 2027 expected clinical development.,Seed data is superseded or at least conflicted by newer public source.,Publish current status only with the newer 2026 company report note.,image-seed unverified,assets/funnelgram_seed.png,2026-06-08,2026-06-08,seed image; Bavarian Nordic; 2026 vs 2027; preclinical
LYME-018,CAND-PIV5-BLB-CYANVAC,PIV5-based vaccine seed row,Funnelgram image seed,"Seed image row: Blue Lake Biotechnology and CyanVac PIV5-based vaccine, intranasal, preclinical","User-provided funnelgram image, transcribed June 8, 2026",2026,Candidate status,Dashboard seed image,Pre-clinical,TBA,Intranasal,Viral vector,"Image states: preclinical PIV5-based vaccine by Blue Lake Biotechnology and CyanVac, intranasal route.",Seed aligns with source-backed preclinical records.,Monitor for IND/clinical trial registration.,image-seed unverified,assets/funnelgram_seed.png,2026-06-08,2026-06-08,seed image; PIV5; intranasal; preclinical
LYME-019,CAND-CSPZ-TUFTS,CspZ-based vaccine seed row,Funnelgram image seed,"Seed image row: Tufts University CspZ-based recombinant protein vaccine, preclinical","User-provided funnelgram image, transcribed June 8, 2026",2026,Candidate status,Dashboard seed image,Pre-clinical,TBA,TBA,Recombinant protein,Image states: CspZ-based recombinant protein vaccine by Tufts University is preclinical.,Seed aligns with source-backed preclinical records.,Monitor translational development and IND-enabling studies.,image-seed unverified,assets/funnelgram_seed.png,2026-06-08,2026-06-08,seed image; CspZ; Tufts; recombinant protein; preclinical
LYME-020,GENERAL-LYME-AWARENESS,General Lyme vaccine awareness,Public health / historical context,CDC notes LYMERix was discontinued in 2002 and current vaccine protection from that product has waned,"CDC, Lyme Disease Vaccine, April 28, 2026",2026,Awareness and acceptability,Government or regulator,Historical context,Public; healthcare providers,N/A,Historical recombinant OspA vaccine,CDC public page explains that the previously marketed U.S. Lyme vaccine was discontinued in 2002 and that people vaccinated before then are no longer protected.,Public education should address vaccine history and current availability carefully.,"Build FAQ content: no current human Lyme vaccine, historical LYMERix does not protect now, approval/recommendation steps remain pending.",manual source-backed,https://www.cdc.gov/lyme/about/lyme-disease-vaccine.html,2026-04-28,2026-06-08,LYMERix; history; public awareness; vaccine confidence; CDC
